,Unnamed: 0,District,Mandal,Village,Latitude,Longitude,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop,ndvi,arvi,evi,gci,ndwi
58,58,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,6.0,0.08,0.08,3.54,43,536,114,4.03,0.19,0.28,6.59,0.47,11.16,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
59,59,Anantapur,Penukonda,Settipalli,14.11,77.65,Redsoil,8.63,0.17,0.13,2.35,57,3544,133,3.23,0.1,0.41,0.79,0.51,1.8,G.Nut,0.16319333119589613,-0.06934343951654205,0.20480424898402605,1.3558441558441556,-0.4040247678018576
60,60,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,7.28,0.08,0.27,6.99,53,608,109,4.30,0.86,0.36,3.99,0.52,10.34,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
61,61,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,8.57,0.22,0.10,2.51,54,3030,118,2.80,0.12,0.32,0.97,0.55,2.45,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
62,62,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.21,0.12,0.25,7.72,60,926,79,4.69,1.2,0.26,2.75,0.4,7.82,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
63,63,Anantapur,Penukonda,Settipalli,14.11,77.65,Redsoil,8.32,0.1,0.15,2.48,114,3142,105,2.20,0.16,0.28,3.21,0.87,6.7,G.Nut,0.16319333119589613,-0.06934343951654205,0.20480424898402605,1.3558441558441556,-0.4040247678018576
64,64,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.21,0.36,0.41,14.95,94,2992,84,30.10,1.13,0.89,2.81,0.55,9.52,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
65,65,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.2,0.12,0.30,15.16,183,1167,148,3.02,0.47,0.64,1.91,0.33,3.48,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
66,66,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,7.95,0.09,0.19,4.66,43,820,123,3.26,0.2,0.23,1.45,0.24,3.75,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
67,67,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,5.62,0.04,0.14,4.39,70,295,78,2.08,0.49,0.17,8.61,0.54,8.11,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
68,68,Anantapur,Penukonda,Settipalli,14.11,77.65,Redsoil,5.86,0.03,0.14,5.31,44,451,67,1.79,0.27,0.19,8.34,0.38,7.05,G.Nut,0.16319333119589613,-0.06934343951654205,0.20480424898402605,1.3558441558441556,-0.4040247678018576
69,69,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,5.55,0.05,0.23,9.05,64,243,24,3.90,0.49,0.19,7.98,0.31,5.31,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
70,70,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,6.18,0.04,0.18,3.13,50,930,124,2.14,0.23,0.20,7.0,0.39,10.49,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
71,71,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,6.85,0.04,0.13,4.65,58,788,63,1.44,0.2,0.20,4.03,0.36,7.46,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
